2019-07-22 20:11:58.711 INFO     Starting buoy test
2019-07-22 20:11:58.863 INFO     Fwd Dist 851 
2019-07-22 20:11:58.864 INFO     Fwd Conf 100
2019-07-22 20:11:59.049 INFO     Fwd Dist 862 
2019-07-22 20:11:59.050 INFO     Fwd Conf 100
2019-07-22 20:11:59.240 INFO     Fwd Dist 862 
2019-07-22 20:11:59.241 INFO     Fwd Conf 100
2019-07-22 20:11:59.438 INFO     Fwd Dist 870 
2019-07-22 20:11:59.439 INFO     Fwd Conf 100
2019-07-22 20:11:59.628 INFO     Fwd Dist 880 
2019-07-22 20:11:59.629 INFO     Fwd Conf 100
2019-07-22 20:11:59.820 INFO     Fwd Dist 880 
2019-07-22 20:11:59.821 INFO     Fwd Conf 100
2019-07-22 20:11:59.965 INFO     Fwd Dist 888 
2019-07-22 20:11:59.965 INFO     Fwd Conf 100
2019-07-22 20:12:00.124 INFO     Fwd Dist 894 
2019-07-22 20:12:00.125 INFO     Fwd Conf 100
2019-07-22 20:12:00.316 INFO     Fwd Dist 894 
2019-07-22 20:12:00.316 INFO     Fwd Conf 100
2019-07-22 20:12:00.508 INFO     Fwd Dist 900 
2019-07-22 20:12:00.509 INFO     Fwd Conf 100
2019-07-22 20:12:00.700 INFO     Fwd Dist 900 
2019-07-22 20:12:00.700 INFO     Fwd Conf 100
2019-07-22 20:12:00.895 INFO     Fwd Dist 906 
2019-07-22 20:12:00.896 INFO     Fwd Conf 100
2019-07-22 20:12:01.042 INFO     Fwd Dist 910 
2019-07-22 20:12:01.043 INFO     Fwd Conf 100
2019-07-22 20:12:01.202 INFO     Fwd Dist 910 
2019-07-22 20:12:01.203 INFO     Fwd Conf 97
2019-07-22 20:12:01.388 INFO     Fwd Dist 926 
2019-07-22 20:12:01.389 INFO     Fwd Conf 97
2019-07-22 20:12:01.577 INFO     Fwd Dist 926 
2019-07-22 20:12:01.578 INFO     Fwd Conf 97
2019-07-22 20:12:01.775 INFO     Fwd Dist 935 
2019-07-22 20:12:01.777 INFO     Fwd Conf 97
2019-07-22 20:12:01.971 INFO     Fwd Dist 947 
2019-07-22 20:12:01.973 INFO     Fwd Conf 97
2019-07-22 20:12:02.192 INFO     Fwd Dist 947 
2019-07-22 20:12:02.194 INFO     Fwd Conf 97
2019-07-22 20:12:02.388 INFO     Fwd Dist 947 
